"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"1097","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",70098.02,NA,"9/10/10","5/31/17","9/10/10","6/30/11","TEXAS","TELEPHONE APPARATUS MANUFACTURING","ITSR NUMBER: 10691 AMB NUMBER: 4162 PROJECT NAME: DALLAS TX OTD OPLA 02242010 1428 PROJECT SUMMARY: PURCHASE OF VOICE EQUIPMENT FOR PHONE SYSTEM."
"1098","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",53711.08,NA,"9/9/10","9/29/13","9/9/10","12/21/10","VIRGINIA","WIRED TELECOMMUNICATIONS CARRIERS","ITSR#: 10307; AMB#3871 ; LOCATION: ALEXANDRIA, VA; PROJECT NAME: FPS ALEXANDRIA, VA ACK305112009 1423-EXPANSION; PROJECT SUMMARY: OFFICE EXPANSION 24 MORE PERSONNEL. VOICE EQUIPMENT"
"1099","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",21080.44,NA,"9/11/10","9/29/13","9/11/10","12/16/10","FLORIDA","WIRED TELECOMMUNICATIONS CARRIERS","TELEPHONES"
"1100","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",55504.29,NA,"9/16/10","5/31/17","9/16/10","11/19/10","TEXAS","TELECOMMUNICATIONS RESELLERS","ITSR#: 10322, AMB#:4128, PROJECT NAME: CORPUS CHRISTI-PHONE SYSTEM, PROJECT SUMMARY: PHONE SYSTEM REPLACEMENT/UPGRADE."
"1101","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",52619.04,NA,"9/16/10","1/14/14","9/16/10","11/19/10","VIRGINIA","TELECOMMUNICATIONS RESELLERS","LATE PALT ? ACCEPTED   ITSR #10561, AMB#4575, PROJECT NAME: ROSSLYN, VA INTEL, PROJECT SUMMARY: TELEPHONE SETS   FOR COMMUNICATION OF THIS ORDER  ALL COMMUNICATIONS AND INVOICES MUST REFERENCE THE DELIVERY ORDER NUMBER IN BLOCK # 3 OF PAGE ONE OF THIS ORDER.  PAYMENT INQUIRIES SHOULD BE DIRECTED TO BURLINGTON FINANCE CENTER AT (866) 233-1915, OPTION #3.  ALL CONTRACTING INQUIRIES CONCERNING THIS ORDER ARE TO BE DIRECTED TO _______________ AT THE ISSUING OFFICE (214) 905-      , OR BY E:MAIL TO:  THE CONTRACTOR IS REQUESTED TO ACKNOWLEDGE ACCEPTANCE OF THIS DELIVERY ORDER BY SIGNING IN THE SPACE BELOW AND RETURNING A COPY OF THIS PAGE WITH THE SIGNATURE OF AN AUTHORIZED AGENT OF YOUR COMPANY TO THE CONTRACTING OFFICER LISTED ABOVE.  THIS PAGE CAN BE FAXED TO (214) 905-5568, OR FURNISHED VIA E:MAIL TO THE E:MAIL ADDRESS LISTED ABOVE.    ______________________________________________________ SIGNATURE 		TITLE					DATE   ____________________________________________ PRINT/TYPE NAME   NOTE:  THE CONTRACTOR SHOULD NOT ACCEPT ANY INSTRUCTION THAT WILL RESULT IN A CHANGE TO THE SUPPLIES/SERVICE ORDERED HEREIN FROM ANY ENTITY OR INDIVIDUAL OTHER THAN A CONTRACTING OFFICER AT THE ISSUING OFFICE.  PROCUREMENT POC:     PROGRAM POC:"
"1102","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",63337.26,NA,"9/20/10","6/28/13","9/20/10","12/20/10","MINNESOTA","TELECOMMUNICATIONS RESELLERS","ITSR NUMBER: 9400 AMB NUMBER: 4090 PROJECT NAME: MINNEAPOLIS PHONE SYSTEM PROJECT SUMMARY: PHONE SYSTEM REPLACEMENT"
"1103","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",23875.71,NA,"9/21/10","5/31/17","9/21/10","12/21/10","COLORADO","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ACCEPTED ITSR NUMBER: 10445 AMB NUMBER: 4092 PROJECT NAME: GRAND JUNCTION, CO PROJECT SUMMARY: PURCHASE OF VOICE EQUIPMENT FOR PHONE SYSTEM INSTALL"
"1104","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",4659.69,NA,"9/21/10","5/31/17","9/21/10","12/21/10","VIRGINIA","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ? ACCEPTED   TSR#:9460, AMB#:4189, PROJECT NAME: NORFOLK VA DRO 04172009 1126, PROJECT SUMMARY: THE NORFOLK VA OFFICE WILL REQUIRE INSTALLATION OF (7) NEW LAN DROPS, (7) NEW PHONE LINES, DISCONNECTION, RECONNECTION OF (5) EXISTING LAN, PHONE DROPS"
"1105","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",6916.36,NA,"9/22/10","9/18/13","9/22/10","12/22/10","VIRGINIA","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ? ACCEPTED  ITSR NUMBER: 10356 AMB NUMBER: 4091 PROJECT NAME: NORFOLK VA OI 10132009 1600-OFFICE EXPANSION PROJECT SUMMARY: PHONE SYSTEM REPLACEMENT"
"1106","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",55933.87,NA,"9/22/10","9/26/13","9/22/10","12/22/10","FLORIDA","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ? ACCEPTED   ITSR NUMBER: 8924 AMB NUMBER: 4045 PROJECT NAME: WEST PALM BEACH RAC PHONE SYSTEM PROJECT SUMMARY: PURCHASE OF VOICE EQUIPMENT FOR WEST PALM BEACH RAC PHONE SYSTEM"
"1107","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",45293.98,NA,"9/22/10","5/31/17","9/22/10","12/23/10","MICHIGAN","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ACCEPTED ITSR 10674; AMB# 4219 ; PROJECT SUMMARY: VOICE EQUIPMENT PROJECT NAME: SAULT ST. MARIE MI OI 021220091032"
"1108","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",28547.27,NA,"9/22/10","5/31/17","9/22/10","12/23/10","FLORIDA","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ACCEPTED ITSR NUMBER: 10407 AMB NUMBER: 4066 PROJECT NAME: PANAMA CITY, FL PROJECT SUMMARY: PHONE SYSTEM REPLACEMENT"
"1109","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",127454,NA,"9/23/10","5/31/17","9/23/10","12/23/10","FLORIDA","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ACCEPTED ITSR#10882, AMB#4570, AAP#68154, PROJECT NAME: MIRAMAR ERO NEW OFFICE, PROJECT SUMMARY: VOICE COMMUNICATION"
"1110","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",109998.91,NA,"9/23/10","9/16/13","9/23/10","6/30/11","MINNESOTA","TELECOMMUNICATIONS RESELLERS","ITSR NUMBER: 10273 AAP#66436 PROJECT NAME: TELEPHONE EXPANSION WORK PROJECT SUMMARY: INSTALL TELEPHONE EXPANSION FOR 75 DRO USERS"
"1111","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",132301.12,NA,"9/24/10","9/26/13","9/24/10","9/27/10","FLORIDA","WIRED TELECOMMUNICATIONS CARRIERS","LATE PALT ? ACCEPTED  ITSR# 10280, AMB#:4130, AAP: 66109, PROJECT NAME: ORLANDO HUB CO-LO, PROJECT SUMMARY: CREATE NEW ICE CO-LO OFFICE WITH CIRCUIT, PHONES, VTC, IT INFRASTRUCTURE AND DEPLOYMENT, PROJECT LOCATION: ORLANDO, FL-10280.8 IS A CHANGE TO 10280.4"
"1112","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",20285.94,NA,"9/27/10","9/9/13","9/27/10","12/28/10","FLORIDA","TELECOMMUNICATIONS RESELLERS","ITSR# 10331, AMB#3834, LOCATION: MIAMI, FL; PROJECT NAME: KROME DRO-CAP SECURE COMMUNITIES EXPANSION, PROJECT SUMMARY: EXPAND SITE TO NEW OFFICE WITH IT HW, LAN INFRASTRUCTURE AND DEPLOYMENT VC EQUIPMENT"
"1113","S3 TELECOM, INC.","TELEPHONE AND TELEGRAPH EQUIPMENT",8617.62,NA,"9/25/10","5/31/17","9/25/10","12/28/10","DISTRICT OF COLUMBIA","TELECOMMUNICATIONS RESELLERS","ITSR#8873; AMB#3884; PROJECT NAME: SALEM, VA OAM-CFO 020420091550; PROJECT SUMMARY: OFFICE MOVE- TRANSFER THE RACK, PATCH PANEL, AND SWITCH FROM THE OLD RICHMOND DRO OFFICE TO SALEM."
"1114","BEST BUY CO., INC.","MINI AND MICRO COMPUTER CONTROL DEVICES",38736.8,NA,"9/20/13","5/31/17","9/23/13","10/20/13","VIRGINIA","OTHER COMPUTER RELATED SERVICES","MOBILE COMPUTING FOR HSI LAW ENFORCEMENT AND MANAGEMENT PERSONNEL."
"1115","RIMAGE CORPORATION","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS",16620.72,NA,"8/27/14","5/31/17","8/27/14","8/26/15","MINNESOTA","ELECTRONIC COMPUTER MANUFACTURING","RIMAGE RAPID EXCHANGE SUPPORT&MAINTENANCE SERVICES IGF::OT::IGF"
"1116","RIMAGE CORPORATION","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT",30202.99,NA,"7/10/09","5/31/17","7/10/09","8/31/09","PUERTO RICO","ELECTRONIC COMPUTER MANUFACTURING","CD LOADER"
"1117","RIMAGE CORPORATION","INFORMATION TECHNOLOGY SOFTWARE",418032,NA,"7/15/09","5/31/17","7/15/09","9/30/09","MINNESOTA","ELECTRONIC COMPUTER MANUFACTURING","TO FULFILL REGIONAL FORENSIC LAB PROJECT EQUIPMENT REQUIREMENTS.   EQUIPMENT/SERVICE/SUPPLIES MUST BE AUTHENTIC RIMAGE PRODUCTS/SERVICES AS PART OF THE STANDARDIZED EQUIPMENT IN ALL OF THE LABS.  SHIPPING - SEE ATTACHED DISTRIBUTION SHEET."
"1118","RIMAGE CORPORATION","INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES",65988,NA,"8/24/10","5/31/17","8/24/10","10/3/10","MINNESOTA","ELECTRONIC COMPUTER MANUFACTURING","3 RIMAGE EVIDENCE DISC SYSTEM (EDS) PROFESSIONAL 8100N 4 BD-R 3 INSTALLATION AND TRAINING 3 RIMAGE 8100N EDS RAPID EXCHANGE"
"1119","EXECUTIVE OFFICE CONCEPTS, LTD","INFORMATION TECHNOLOGY COMPONENTS",1546.2,1546.2,"8/19/11","6/10/20","8/19/11","9/18/11","DISTRICT OF COLUMBIA","VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING","FLASH DRIVES FOR THE OFFICE OF HUMAN CAPITAL."
"1120","NOMAD TECHNOLOGIES INC","TRAINING AIDS",40493,40493,"9/28/11","6/23/23","9/28/11","10/28/11","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","A/V MULTIMEDIA CONFERENCE EQUIPMENT&INSTALLATION"
"1121","IDEAL SYSTEM SOLUTIONS, INC.","INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES",275883.8,275883.8,"3/2/11","7/21/22","3/2/11","4/1/11","MINNESOTA","COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS","PURCHASE OF 7505 RSA SECUREID VPN TOKENS - DURATION OF 5 YEARS AMB DB # 4645 AAP # 69103"
"1122","IDEAL SYSTEM SOLUTIONS, INC.","INFORMATION TECHNOLOGY COMPONENTS",51708,51708,"4/28/11","7/22/22","4/28/11","5/28/11","MINNESOTA","COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS","LAPTOPS, CARRYING CASES, AND AN EXTRA LAPTOP BATTERY FOR EACH OF THE 24 FIELD OFFICES ."
"1123","NOMAD TECHNOLOGIES INC","ARMAMENT TRAINING DEVICES",78272.04,NA,"6/1/11","5/31/17","6/1/11","7/1/11","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","AUDIO VISUAL SYSTEM FOR ICE ACADEMY"
"1124","GRANICUS, LLC","INFORMATION TECHNOLOGY COMPONENTS",5000,5000,"7/26/11","6/25/20","7/26/11","7/29/11","MINNESOTA","OTHER COMPUTER RELATED SERVICES","NEXT GENERATION OF GOVERNMENT SUMMIT POP: 7/28/11 - 7/29/11  AMB#:5825"
"1125","NOMAD TECHNOLOGIES INC","TRAINING AIDS",36694.86,36694.86,"8/17/11","8/10/18","8/17/11","9/16/11","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","GS-07F-0081N AUDIO VISUAL SYSTEM FOR GLYNCO BLDG 65, RM 211, IDC TRAINING AP# 69211"
"1126","NOMAD TECHNOLOGIES INC","TRAINING AIDS",3941,NA,"2/22/12","5/31/17","2/22/12","3/21/12","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","A/V EQUIPMENT"
"1127","RIMAGE CORPORATION","INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES",15247,NA,"5/22/12","5/31/17","5/22/12","6/21/12","DISTRICT OF COLUMBIA","ELECTRONIC COMPUTER MANUFACTURING","CD/DVD DUPLICATOR, WARRANTY, AND MEDIA KIT"
"1128","WECSYS LLC","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT",4547.7,NA,"8/1/12","5/31/17","8/1/12","8/31/12","MINNESOTA","ENVELOPE MANUFACTURING","PLOTTER NEEDED TO PRINT LINK CHARTS TO PRESENT TO U.S. ATTORNEY'S OFFICE AND FOR CASE AGENTS TO ASSIST IN CRIMINAL CASE DEVELOPMENT."
"1129","NOMAD TECHNOLOGIES INC","TRAINING AIDS",15236,NA,"11/9/11","5/31/17","11/9/11","12/9/11","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","GS-07F-0081N REFERENCE: HSCETE-11-P-00010 AUDIO VISUAL SYSTEM FOR GLYNCO BLDG 65, ADDITIONAL STARBOARD RM 102 AND INTEGRATE AUDIO SYSTEM IN RMS 102 AND 111 AP# 69211"
"1130","IDEAL SYSTEM SOLUTIONS, INC.","INFORMATION TECHNOLOGY SOFTWARE",2814.12,NA,"8/27/14","5/31/17","8/27/14","9/26/15","DISTRICT OF COLUMBIA","OTHER COMPUTER RELATED SERVICES","BCWIPE SOFTWARE"
"1131","RIMAGE CORPORATION","INFORMATION TECHNOLOGY COMPONENTS",36025.68,36025.68,"2/18/16","2/18/16","2/18/16","3/18/16","CALIFORNIA","ELECTRONIC COMPUTER MANUFACTURING","RIMAGE FORENSIC SOFTWARE"
"1132","RIMAGE CORPORATION","INFORMATION TECHNOLOGY COMPONENTS",11666.71,11666.71,"8/22/16","8/22/16","8/22/16","9/21/16","MINNESOTA","ELECTRONIC COMPUTER MANUFACTURING","SERVERS NEEDED"
"1133","RIMAGE CORPORATION","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT",37411.03,37411.03,"9/2/16","9/2/16","9/2/16","10/1/16","VIRGINIA","ELECTRONIC COMPUTER MANUFACTURING","LAW ENFORCEMENT MISSION CRITICAL. THIS IS TO FULFILL HSI C3 COMPUTER FORENSICS PROGRAM REQUIREMENTS. SHIP UPON DELIVERY ORDER AWARD. PRIMARY POC: JEREMY WHITE. OBLIGATION POC'S: KIMBERLY MOODHE&MARGIE JONES"
"1134","SCREENFEED, INC","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT",49673.41,49673.41,"12/9/16","8/31/20","12/9/16","9/30/19","MINNESOTA","COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS","IGF::OT::IGF COMPUTERS"
"1135","IDENTIX INCORPORATED","MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT",6236,NA,"9/26/07","5/31/17","9/26/07","9/30/08","COLORADO","ALL OTHER MISCELLANEOUS MANUFACTURING","LEASE OF FINGER PRINT MACHINE"
"1136","IDS INTERNATIONAL, LLC","GUARD SERVICES",22111.04,NA,"6/17/09","9/21/09","4/1/09","12/31/13","COLORADO","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES"
"1137","D BRIAN'S DELI CORP","COMPOSITE FOOD PACKAGES",15900,NA,"6/20/05","5/31/17","6/20/05","9/30/05","MINNESOTA","","ORDER ENTERED INTO PRISM SOLELY TO ALLOW FOR FUNDING MODS AND OTHER ADMINISTRATIVE CHANGES AS NEEDED."
"1138","IDENTIX INCORPORATED","OFFICE DEVICES AND ACCESSORIES",49966.53,NA,"3/31/04","5/31/17","4/1/04","9/30/05","DISTRICT OF COLUMBIA","ALL OTHER MISCELLANEOUS MANUFACTURING","MAINTENANCE SERVICE FOR LIVE SCAN SYS"
"1139","HUBBARD BROADCASTING INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",4800,NA,"3/1/06","5/31/17","3/1/06","9/30/06","MINNESOTA","TELEVISION BROADCASTING","RENEWAL OF RENTAL COMMUNICATION TOWER SPACE FOR RADIO REPEATERS"
"1140","NORTHROP GRUMMAN INNOVATION SYSTEMS LLC","AMMUNITION, THROUGH 30MM",23092.04,NA,"6/1/04","5/31/17","3/23/04","5/31/17","DISTRICT OF COLUMBIA","","AMMUNITION"
"1141","NORTHROP GRUMMAN INNOVATION SYSTEMS LLC","AMMUNITION, THROUGH 30MM",41796.68,NA,"7/21/04","5/31/17","3/23/04","5/31/17","DISTRICT OF COLUMBIA","","AMMUNITION"
"1142","NORTHROP GRUMMAN INNOVATION SYSTEMS LLC","AMMUNITION, THROUGH 30MM",7532.8,NA,"8/17/04","5/31/17","3/23/04","5/31/17","DISTRICT OF COLUMBIA","","AMMUNITION"
"1143","NORTHROP GRUMMAN INNOVATION SYSTEMS LLC","AMMUNITION, THROUGH 30MM",24824,NA,"8/18/04","5/31/17","3/23/04","5/31/17","DISTRICT OF COLUMBIA","","AMMUNITION"
"1144","NORTHROP GRUMMAN INNOVATION SYSTEMS LLC","AMMUNITION, THROUGH 30MM",31672,NA,"8/27/04","5/31/17","3/23/04","5/31/17","DISTRICT OF COLUMBIA","","AMMUNITION"
"1145","PUBLIC SAFETY, MINNESOTA DEPARTMENT OF","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL",1638,NA,"6/7/05","5/31/17","6/7/05","9/30/05","MINNESOTA","","CONNECT CHARGE FOR QUERYING AND RETRIEVING RECORDS"
"1146","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",7964.73,NA,"2/17/04","5/31/17","2/17/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1147","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",13457.7,NA,"2/19/04","5/31/17","10/28/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1148","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",448.04,NA,"10/23/03","5/31/17","10/23/03","5/31/04","","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1149","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",549.69,NA,"11/5/03","5/31/17","11/5/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIGINIA"
"1150","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",0,NA,"3/23/04","5/31/17","3/23/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1151","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",474.39,NA,"1/28/04","5/31/17","1/28/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1152","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",0,NA,"3/24/04","5/31/17","3/24/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1153","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",421.68,NA,"10/22/03","5/31/17","10/22/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VINGINIA"
"1154","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",421.68,NA,"10/22/03","5/31/17","10/22/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1155","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",368.97,NA,"10/22/03","5/31/17","10/22/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVIVES VIRGINIA"
"1156","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",1219.86,NA,"10/21/03","5/31/17","10/21/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1157","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",2529.87,NA,"10/21/03","5/31/17","10/21/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1158","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",500.75,NA,"11/5/03","5/31/17","11/5/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1159","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",2371.74,NA,"12/4/03","5/31/17","10/21/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1160","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",474.39,NA,"10/21/03","5/31/17","10/21/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1161","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",988.31,NA,"10/21/03","5/31/17","10/21/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1162","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",2981.61,NA,"10/23/03","5/31/17","10/23/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"1163","CENTRAL STATES WIRE PRODUCTS INC","PACKAGING AND PACKING BULK MATERIALS",9320,9320,"2/21/18","6/7/18","2/21/18","6/7/18","MINNESOTA","CORRUGATED AND SOLID FIBER BOX MANUFACTURING","STRETCH WRAP MACHINE"
"1164","RIMAGE CORPORATION","INFORMATION TECHNOLOGY COMPONENTS",82532.42,82532.42,"2/21/18","9/10/18","2/21/18","9/7/18","MINNESOTA","ELECTRONIC COMPUTER MANUFACTURING","EVIDENCE DISC SYSTEMS"
"1165","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",279500,279500,"2/26/18","4/8/19","2/26/18","7/10/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"1166","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",985034.88,985034.88,"3/15/18","11/15/22","3/15/18","9/26/22","DISTRICT OF COLUMBIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","9MM LUGER +P 124 GRAIN AMMUNITION - PN 53927"
"1167","RIMAGE CORPORATION","INFORMATION TECHNOLOGY COMPONENTS",351625,351625,"3/28/18","5/7/20","3/28/18","3/31/20","MINNESOTA","ELECTRONIC COMPUTER MANUFACTURING","RIMAGE WARRANTY"
"1168","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",483320,483320,"4/3/18","8/1/19","4/2/18","7/16/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE.223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"1169","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",239630,239630,"4/5/18","6/27/19","4/5/18","7/5/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","223 55 GRAIN AMMUNITION.  PART# BC223NT5A."
"1170","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",384560,384560,"4/5/18","6/27/19","4/5/18","7/5/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","9MM 100 GRAIN AMMUNITION.  PART# 53365."
"1171","U.S. BANCORP","SUPPORT- MANAGEMENT: FINANCIAL",19812303.49,19812303.49,"4/26/18","11/20/23","4/26/18","10/27/23","DISTRICT OF COLUMBIA","FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES","I-901 FEE SYSTEM AND OPERATIONS MAINTENANCE"
"1172","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",37503.25,37503.25,"5/24/18","7/31/19","5/24/18","10/12/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","83,570 ROUNDS OF 12 GA SV BUCK SHOT AMMUNITION FOR ERO"
"1173","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",231663.6,231663.6,"8/27/18","8/25/21","8/27/18","2/25/19","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","580 CASES OF .223 CALIBER 62 GRAIN DUTY AMMUNITION"
"1174","WEST PUBLISHING CORPORATION","TECHNICAL REPRESENTATIVE- BOOKS, MAPS, AND OTHER PUBLICATIONS",15636.96,15636.96,"9/4/18","5/17/23","9/4/18","7/15/19","MINNESOTA","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","PUBLICATIONS THOMSON REUTERS"
"1175","POLARIS SALES INC","MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES",21711.1,21711.1,"9/5/18","2/6/19","9/5/18","11/30/18","NEW JERSEY","INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING","DIESEL UTILITY TASK VEHICLE"
"1176","POLARIS SALES INC","MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES",15987.35,15987.35,"9/12/18","12/1/20","9/12/18","9/30/18","MINNESOTA","LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING","SUPPLY OF GOLF CART"
"1177","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",149823.36,149823.36,"9/24/18","2/6/20","9/24/18","5/20/19","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","592 CASES OF .40 S&W JHP AMMUNITION FOR ERO."
"1178","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",0,NA,"1/9/06","5/31/17","1/9/06","","","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"1179","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",0,NA,"9/21/06","5/31/17","9/21/06","","","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING",".223 AMMUNITION"
